subject,relation,object,domain,weight,entity_type_subject,entity_type_object
端午节,commemorates,屈原,festival,1.0,event_practice,historical_actor
端午节,embodies,集体记忆,festival,1.0,event_practice,cultural_concept
端午节,embodies,爱国主义,festival,0.9,event_practice,value_orientation
端午节,originated_in,战国时期,festival,1.0,event_practice,spatiotemporal_context
端午节,associated_with,龙舟竞渡,festival,1.0,event_practice,event_practice
端午节,associated_with,粽子,festival,1.0,event_practice,cultural_concept
端午节,belongs_to,中国传统节庆,festival,1.0,event_practice,cultural_concept
端午节,reinforces,社区认同,festival,0.9,event_practice,value_orientation
端午节,transfers_to,文化认同教育,festival,0.8,event_practice,cultural_concept
端午节,contrasts_with,现代娱乐节日,festival,0.7,event_practice,cultural_concept
龙舟竞渡,embodies,集体协作精神,festival,1.0,event_practice,value_orientation
龙舟竞渡,reinforces,团队精神,festival,0.9,event_practice,value_orientation
龙舟竞渡,associated_with,端午节,festival,1.0,event_practice,event_practice
屈原,associated_with,爱国主义,festival,1.0,historical_actor,value_orientation
屈原,associated_with,楚辞,festival,1.0,historical_actor,cultural_concept
屈原,occurred_in,战国时期,festival,1.0,historical_actor,spatiotemporal_context
粽子,associated_with,端午节,festival,1.0,cultural_concept,event_practice
粽子,embodies,饮食文化传承,festival,0.8,cultural_concept,cultural_concept
非物质文化遗产,includes,端午节,heritage,1.0,cultural_concept,event_practice
集体记忆,transfers_to,社区认同,memory,1.0,cultural_concept,value_orientation
集体记忆,reinforces,文化认同,memory,0.9,cultural_concept,cultural_concept
集体记忆,embodies,共同历史经历,memory,0.9,cultural_concept,cultural_concept
爱国主义,reinforces,民族认同,value,0.9,value_orientation,value_orientation
社区认同,transfers_to,文化认同,identity,0.9,value_orientation,cultural_concept
社区认同,reinforces,集体主义价值观,identity,0.9,value_orientation,value_orientation
社区参与,transfers_to,共同认同,community,0.9,cultural_concept,value_orientation
节庆文化,embodies,文化传承,festival,1.0,cultural_concept,cultural_concept
节庆文化,reinforces,集体记忆,festival,0.9,cultural_concept,cultural_concept
春节,embodies,家庭团聚,festival,1.0,event_practice,value_orientation
春节,reinforces,孝道,festival,1.0,event_practice,cultural_concept
春节,associated_with,除夕,festival,1.0,event_practice,event_practice
春节,associated_with,年夜饭,festival,1.0,event_practice,event_practice
春节,associated_with,拜年,festival,1.0,event_practice,event_practice
春节,associated_with,红包,festival,1.0,event_practice,cultural_concept
春节,originated_in,上古时期,festival,0.8,event_practice,spatiotemporal_context
春节,transfers_to,海外华人文化传承,festival,0.9,event_practice,cultural_concept
春节,contrasts_with,西方圣诞节,festival,0.7,event_practice,event_practice
春节,embodies,辞旧迎新,festival,0.9,event_practice,cultural_concept
年夜饭,reinforces,家庭团聚,festival,1.0,event_practice,value_orientation
年夜饭,embodies,饮食文化,festival,0.9,event_practice,cultural_concept
拜年,embodies,尊老敬长,festival,1.0,event_practice,value_orientation
拜年,reinforces,礼仪规范,festival,0.9,event_practice,cultural_concept
红包,embodies,祝福与庇护,festival,0.9,cultural_concept,value_orientation
红包,transfers_to,数字红包文化,festival,0.8,cultural_concept,cultural_concept
除夕,embodies,辞旧迎新,festival,1.0,event_practice,cultural_concept
除夕,associated_with,守岁,festival,1.0,event_practice,event_practice
春联,embodies,美好祝愿,festival,0.9,cultural_concept,value_orientation
舞龙舞狮,embodies,驱邪纳福,festival,0.9,event_practice,value_orientation
家庭团聚,reinforces,孝道,family,1.0,value_orientation,cultural_concept
非物质文化遗产,includes,春节,heritage,1.0,cultural_concept,event_practice
中秋节,embodies,家庭团聚,festival,1.0,event_practice,value_orientation
中秋节,associated_with,嫦娥,festival,1.0,event_practice,historical_actor
中秋节,associated_with,月饼,festival,1.0,event_practice,cultural_concept
中秋节,embodies,思乡情感,festival,0.9,event_practice,value_orientation
中秋节,reinforces,集体记忆,festival,0.9,event_practice,cultural_concept
中秋节,originated_in,唐代,festival,0.9,event_practice,spatiotemporal_context
中秋节,contrasts_with,万圣节,festival,0.7,event_practice,event_practice
中秋节,transfers_to,现代节日消费文化,festival,0.7,event_practice,cultural_concept
